,Primary Instructor,Course Title,Subject,Number,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,YearTerm
142,"Saunders, Pamela A",Principles of Composition,RHET,105,3.632727272727273,65,72.5108225108225,27.48917748917749,0.0,0.0,0.0,3
143,"Schenck, Henry K",Calculus II,MATH,231,2.808723404255319,235,30.21276595744681,37.02127659574468,22.127659574468083,6.808510638297872,3.829787234042553,1
144,"Scheuer, Christina B",Principles of Composition,RHET,105,3.652272727272727,22,81.81818181818183,9.090909090909092,9.090909090909092,0.0,0.0,1
145,"Shea, Anne O",Principles of Composition,RHET,105,3.3671954236239947,153,54.236239950525665,38.62090290661719,3.246753246753247,0.0,3.8961038961038965,7
146,"Shetina, Michael D",Principles of Composition,RHET,105,3.3190476190476192,21,71.42857142857143,14.285714285714285,9.523809523809524,0.0,4.761904761904762,1
147,"Simeone, Christopher",Principles of Composition,RHET,105,3.3814285714285717,42,49.99999999999999,47.61904761904761,0.0,0.0,2.380952380952381,2
148,"Simon Power, Kaia L",Principles of Composition,RHET,105,3.485,22,77.27272727272727,9.090909090909092,4.545454545454546,4.545454545454546,4.545454545454546,1
149,"Snow, Spencer",Principles of Composition,RHET,105,3.595081168831169,86,70.12987012987013,25.324675324675322,3.4090909090909087,0.0,1.1363636363636365,4
150,"Solie, Brent B",Calculus II,MATH,231,2.894090909090909,22,13.636363636363635,72.72727272727273,9.090909090909092,0.0,4.545454545454546,1
151,"Srikant, Jenny J",Linear Algebra w Computat Appl,MATH,257,3.475229210771664,772,66.32045853743966,22.1892561515203,7.3990156537326355,2.697422980441848,1.3938466768655449,3
152,"Stiles, Bradley J",Principles of Composition,RHET,105,3.577727272727273,22,81.81818181818183,13.636363636363635,4.545454545454546,0.0,0.0,1
153,"Szuta, Patryk L",Calculus II,MATH,231,2.8204166666666666,24,37.5,37.5,4.166666666666666,20.833333333333336,0.0,1
154,"Thiess, Derek J",Principles of Composition,RHET,105,3.1372727272727277,44,34.09090909090909,54.54545454545455,11.363636363636363,0.0,0.0,2
155,"Thom Porter, Jessica L",Principles of Composition,RHET,105,3.7112551759834367,87,83.70741577263317,11.693017127799736,0.0,4.599567099567099,0.0,4
156,"Thom, Jessica L",Principles of Composition,RHET,105,3.803181818181818,22,81.81818181818183,18.181818181818183,0.0,0.0,0.0,1
157,"Tong, Xiao Di",Principles of Composition,RHET,105,3.2021212121212126,66,37.878787878787875,48.48484848484848,10.606060606060606,3.0303030303030307,0.0,3
158,"Toprak, Ebru",Calculus II,MATH,231,2.7942857142857145,21,23.809523809523807,47.61904761904761,19.047619047619047,9.523809523809524,0.0,1
159,"Truran, Wendy J",Principles of Composition,RHET,105,3.6185714285714283,21,61.904761904761905,33.33333333333333,4.761904761904762,0.0,0.0,1
160,"Turk, Matthew J",Data Visualization,IS,445,3.8903278309722307,304,93.41818327447989,4.556379155435759,1.04928453025206,0.31446540880503143,0.6616876310272536,6
161,"Tyson, Jeremy",Calculus II,MATH,231,2.777389763014763,498,27.287296037296038,37.101787101787096,24.446386946386944,8.556721056721056,2.6078088578088576,2
162,"Uhe, Andrew W",Data Visualization,IS,445,3.9655172413793105,29,96.55172413793103,3.4482758620689653,0.0,0.0,0.0,1
163,"Validashti Dizg, Javid",Calculus II,MATH,231,3.037450929152148,457,42.85907859078591,31.408246225319395,15.650406504065039,6.345334881920248,3.7369337979094075,2
164,"Vellis, Vyron S",Calculus II,MATH,231,2.401799100449775,75,18.490754622688655,38.18090954522739,23.688155922038977,9.245377311344328,10.394802598700648,3
165,"Vigiletti, Elyse R",Principles of Composition,RHET,105,3.8299134199134204,43,88.41991341991343,11.58008658008658,0.0,0.0,0.0,2
166,"Wang, Yi",Calculus II,MATH,231,3.3513913043478256,115,66.08695652173913,14.782608695652174,16.52173913043478,0.0,2.608695652173913,1
167,"Webb, Gregory M",Principles of Composition,RHET,105,3.5583116883116883,43,60.497835497835496,37.121212121212125,2.380952380952381,0.0,0.0,2
168,"Weber, Rebecca",Principles of Composition,RHET,105,3.6519999999999997,110,82.72727272727272,10.90909090909091,2.7272727272727275,0.9090909090909092,2.7272727272727275,5
169,"West, Argen M",Calculus II,MATH,231,2.8470833333333334,24,25.0,45.83333333333333,16.666666666666664,12.5,0.0,1
170,"Whittlesey, Kim",Calculus II,MATH,231,2.556087119195747,1487,27.05649059541776,28.425743510085205,25.962127195684307,12.581185191191764,5.974453507620964,8
171,"Williams, Kyle J",Principles of Composition,RHET,105,3.5115841646276427,132,66.7497960976222,31.01041470606688,1.4822134387351777,0.0,0.7575757575757577,6
172,"Wong, Daniel S",Principles of Composition,RHET,105,3.7233889919604204,152,75.01546072974644,23.65491651205937,1.3296227581941868,0.0,0.0,7
173,"Wong, Jessica",Principles of Composition,RHET,105,3.7153804347826087,90,84.48616600790513,9.930830039525691,3.3596837944664033,0.0,2.2233201581027666,4
174,"Wood, Elaine S",Principles of Composition,RHET,105,3.6803636363636363,108,80.6926406926407,15.584415584415584,2.7705627705627704,0.0,0.9523809523809523,5
175,"Wright, David C",Principles of Composition,RHET,105,3.2253643578643576,129,43.61471861471862,45.5988455988456,7.720057720057721,0.7575757575757577,2.3088023088023086,6
176,"Wu, Xuan",Calculus II,MATH,231,2.963302752293578,109,40.36697247706422,34.862385321100916,11.009174311926607,8.256880733944955,5.5045871559633035,1
177,"Wyser, Benjamin J",Calculus II,MATH,231,2.704682971014493,400,27.244363929146537,34.32971014492753,24.8389694041868,8.554750402576488,5.032206119162641,2
178,"Zharnitsky, Vadim",Calculus II,MATH,231,2.7170787358347392,700,25.398824900174564,37.58666119337179,24.88508430394478,10.288155154088455,1.8412744484204155,3
