Course Number,CRN,Type,Section,Time,Days,Location,Instructor
ECON 102,38931,Discussion,ADE,12:00 PM - 12:50 PM,F,384 - Armory,"DiIanni, I"
ECON 102,38995,Discussion,ADF,01:00 PM - 01:50 PM,F,384 - Armory,"DiIanni, I"
ECON 102,38996,Discussion,ADG,08:00 AM - 08:50 AM,F,108 - English Building,"DiIanni, I"
ECON 102,46774,Discussion,ADH,09:00 AM - 09:50 AM,F,108 - English Building,"DiIanni, I"
ECON 102,61248,Discussion,ADI,10:00 AM - 10:50 AM,F,108 - English Building,"DiIanni, I"
ECON 102,36435,Discussion,ADJ,02:00 PM - 02:50 PM,F,147 - Armory,"DiIanni, I"
ECON 102,46770,Lecture,BL1,01:00 PM - 01:50 PM,MW,AUD - Foellinger Auditorium,"Buckley, B"
ECON 102,71971,Discussion,BD!,11:00 AM - 11:50 AM,F,40 - Allen Residence Hall,"Buckley, B"
ECON 102,71973,Discussion,BD#,01:00 PM - 01:50 PM,F,5 - Weston Hall,"Buckley, B"
ECON 102,36417,Discussion,BDA,08:00 AM - 08:50 AM,F,147 - Armory,"Buckley, B"
ECON 102,36421,Discussion,BDB,09:00 AM - 09:50 AM,F,147 - Armory,"Buckley, B"
ECON 102,36423,Discussion,BDC,10:00 AM - 10:50 AM,F,147 - Armory,"Buckley, B"
ECON 102,36427,Discussion,BDD,11:00 AM - 11:50 AM,F,147 - Armory,"Buckley, B"
ECON 102,36430,Discussion,BDE,12:00 PM - 12:50 PM,F,147 - Armory,"Buckley, B"
ECON 102,36432,Discussion,BDF,01:00 PM - 01:50 PM,F,147 - Armory,"Buckley, B"
ECON 102,36438,Discussion,BDH,03:00 PM - 03:50 PM,F,147 - Armory,"Buckley, B"
ECON 102,66329,Discussion,BDI,04:00 PM - 04:50 PM,F,147 - Armory,"Buckley, B"
ECON 102,36387,Discussion,BDJ,05:00 PM - 05:50 PM,F,147 - Armory,"Buckley, B"
ECON 102,36389,Discussion,BDK,09:00 AM - 09:50 AM,F,166 - Wohlers Hall,"Buckley, B"
ECON 102,36392,Discussion,BDL,10:00 AM - 10:50 AM,F,166 - Wohlers Hall,"Buckley, B"
ECON 102,36395,Discussion,BDM,11:00 AM - 11:50 AM,F,166 - Wohlers Hall,"Buckley, B"
ECON 102,46775,Discussion,BDN,12:00 PM - 12:50 PM,F,166 - Wohlers Hall,"Buckley, B"
ECON 102,46772,Discussion,BDO,01:00 PM - 01:50 PM,F,166 - Wohlers Hall,"Buckley, B"
ECON 102,46773,Discussion,BDP,11:00 AM - 11:50 AM,F,108 - English Building,"Buckley, B"
ECON 102,37726,Discussion,BDQ,12:00 PM - 12:50 PM,F,108 - English Building,"Buckley, B"
ECON 102,49899,Discussion,BDR,08:00 AM - 08:50 AM,F,166 - Wohlers Hall,"Buckley, B"
ECON 102,49903,Discussion,BDS,04:00 PM - 04:50 PM,F,166 - Wohlers Hall,"Buckley, B"
IS 445,73217,Lecture-Discussion,ACG,09:00 AM - 11:50 AM,M,W109 - Turner Hall,"Turk, M"
IS 445,73218,Lecture-Discussion,ACU,09:00 AM - 11:50 AM,M,W109 - Turner Hall,"Turk, M"
IS 445,76467,Lecture-Discussion,BCG,12:00 PM - 02:50 PM,M,4031 - Campus Instructional Facility,"Naiman, J"
IS 445,76468,Lecture-Discussion,BCU,12:00 PM - 02:50 PM,M,4031 - Campus Instructional Facility,"Naiman, J"
MATH 231,46908,Lecture,AL1,10:00 AM - 10:50 AM,MW,180 - Bevier Hall,"Bahreini Esfahani, M"
MATH 231,56751,Lecture,AL2,11:00 AM - 11:50 AM,MW,180 - Bevier Hall,"Bahreini Esfahani, M"
MATH 231,46865,Lecture,AL3,12:00 PM - 12:50 PM,MW,180 - Bevier Hall,"Bahreini Esfahani, M"
MATH 231,46860,Lecture,BL1,09:00 AM - 09:50 AM,MW,66 - Library,"Hoffmeister, A"
MATH 231,46880,Lecture,EL1,09:00 AM - 09:50 AM,MWF,141 - Wohlers Hall,"Bronski, J"
MATH 231,46897,Lecture,EL2,10:00 AM - 10:50 AM,MWF,141 - Wohlers Hall,
MATH 231,49232,Discussion,AD1,03:00 PM - 04:50 PM,TR,2090 - Natural History Building,
MATH 231,46907,Discussion,AD2,09:00 AM - 10:50 AM,TR,314 - Davenport Hall,
MATH 231,49238,Discussion,AD3,01:00 PM - 02:50 PM,TR,314 - Davenport Hall,
MATH 231,46844,Discussion,ADA,08:00 AM - 08:50 AM,TR,144 - Armory,
MATH 231,46849,Discussion,ADB,09:00 AM - 09:50 AM,TR,144 - Armory,
MATH 231,46851,Discussion,ADC,10:00 AM - 10:50 AM,TR,430 - Armory,
MATH 231,46858,Discussion,ADD,11:00 AM - 11:50 AM,TR,144 - Armory,
MATH 231,58983,Discussion,ADE,12:00 PM - 12:50 PM,TR,144 - Armory,
MATH 231,46853,Discussion,ADF,01:00 PM - 01:50 PM,TR,144 - Armory,
MATH 231,46856,Discussion,ADG,02:00 PM - 02:50 PM,TR,144 - Armory,
MATH 231,58982,Discussion,ADH,03:00 PM - 03:50 PM,TR,144 - Armory,
MATH 231,58984,Discussion,ADI,09:00 AM - 09:50 AM,TR,103 - Bevier Hall,
MATH 231,58985,Discussion,ADJ,10:00 AM - 10:50 AM,TR,103 - Bevier Hall,
MATH 231,46899,Discussion,ADK,10:00 AM - 10:50 AM,TR,393 - Bevier Hall,
MATH 231,46905,Discussion,ADN,02:00 PM - 02:50 PM,TR,137 - Henry Administration Bldg,
MATH 231,58986,Discussion,ADP,08:00 AM - 08:50 AM,TR,104 - English Building,
MATH 231,56755,Discussion,ADT,01:00 PM - 01:50 PM,TR,137 - Henry Administration Bldg,
